,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED
431945,40.60105,-73.9362,1.0
416452,40.677357,-73.88687,0.0
202717,40.738907,-73.84756,0.0
155629,40.75059,-73.98572,0.0
196044,40.7527,-73.98568,0.0
622511,40.759514,-73.99926,0.0
368539,,,0.0
839820,40.6892183,-73.9176492,0.0
677494,40.766716,-73.928566,0.0
453095,40.735752,-73.88052,0.0
158327,40.703304,-73.78395,0.0
568599,40.707385,-73.876624,0.0
689164,40.663227,-73.93159,0.0
137001,40.59455,-73.997574,1.0
495466,40.865864,-73.92638,0.0
789162,40.645405,-73.911736,2.0
811217,,,0.0
309426,40.683777,-73.76975,0.0
169059,40.830994,-73.928116,0.0
327815,40.581062,-74.00072,0.0
653550,40.5449357,-74.2004026,0.0
410221,40.678955,-73.86516,0.0
186768,40.742508,-73.91788,0.0
840535,,,0.0
474293,40.832474,-73.94232,0.0
447695,40.768436,-73.98906,0.0
250953,,,1.0
310111,40.67816,-73.897484,0.0
746940,40.70235,-73.98471,1.0
95945,40.681942,-73.97241,0.0
286176,40.85406,-73.91936,0.0
639771,40.637455,-73.92886,0.0
313037,40.745613,-73.9462,1.0
13625,40.709396,-73.79439,1.0
138866,40.74357,-73.83772,0.0
374216,40.672104,-73.925865,0.0
193202,40.69773,-73.81409,0.0
673389,40.578106,-73.99801,0.0
826113,40.86994,-73.84524,0.0
450951,40.75625,-73.802666,0.0
91700,40.639645,-73.98015,0.0
364687,40.6686,-73.91813,0.0
641560,,,0.0
443975,40.737465,-73.919846,1.0
385154,,,0.0
39072,40.76552,-73.98004,3.0
14888,40.646328,-73.91276,1.0
543467,40.755005,-73.777756,0.0
568078,40.7595778,-73.9680255,0.0
825584,,,1.0
112326,40.6514,-73.75889,0.0
446765,40.838688,-73.92752,0.0
281646,40.7168,-74.0148,0.0
801609,40.764626,-73.99555,0.0
696031,40.608852,-74.15334,1.0
7019,40.646175,-73.88953,0.0
516842,40.690308,-73.99881,0.0
155860,40.834114,-73.86327,0.0
445172,40.761486,-73.96062,0.0
529763,40.69279,-73.76522,0.0
771339,40.680542,-73.86666,0.0
23652,40.58698,-73.8201,0.0
161967,40.82403,-73.94476,1.0
739822,40.804344,-73.92158,0.0
49940,,,0.0
561605,40.780251,-73.8191711,0.0
5749,40.715164,-73.79527,0.0
50883,40.696033,-73.98453,1.0
736457,40.685555,-73.793,0.0
365594,40.715145,-73.74935,0.0
560557,40.6974067,-73.936006,0.0
65546,40.800556,-73.94021,1.0
568116,,,1.0
769297,40.660675,-74.00138,0.0
627163,40.57842,-73.98296,0.0
175797,40.679935,-73.91389,1.0
784762,40.737926,-73.81485,0.0
122228,40.61063,-73.98019,1.0
191635,40.87122,-73.91416,0.0
825191,,,0.0
250015,40.67264,-73.87281,0.0
245451,40.671585,-73.99843,0.0
821194,,,0.0
684147,40.759727,-73.8455,0.0
535104,40.661385,-73.95362,0.0
375132,40.68685,-73.92349,1.0
220737,40.69535,-73.72685,0.0
506697,40.810947,-73.927155,0.0
228157,40.86547,-73.902084,0.0
291041,40.547855,-74.19784,0.0
583932,40.76817,-73.9528,0.0
583148,40.681488,-73.765335,1.0
14606,40.670372,-73.81994,2.0
587217,40.8905,-73.831154,5.0
467074,40.74533,-73.982635,0.0
727833,40.746273,-73.98918,0.0
58458,40.81044,-73.88735,0.0
75506,40.729908,-73.80146,0.0
279531,40.739113,-73.88975,0.0
287462,,,0.0
607562,40.757946,-73.9099,0.0
174250,40.700363,-73.784966,1.0
312692,40.71517,-73.8279,0.0
586431,40.666405,-73.74661,0.0
4018,40.63095,-74.00977,0.0
134894,40.727406,-74.00267,0.0
461898,40.748608,-73.992355,0.0
63890,40.75913,-73.98635,0.0
583484,40.79573,-73.93267,0.0
484495,40.67086,-73.99153,0.0
605876,40.630512,-73.957306,1.0
687453,40.61913,-73.99019,0.0
292546,40.749985,-73.90542,0.0
745285,40.767838,-73.98137,1.0
14722,40.665882,-73.99642,0.0
571577,40.6470687,-73.9939279,2.0
119837,40.66959,-73.9959,0.0
382869,40.837368,-73.887764,0.0
668860,40.770313,-73.99141,0.0
835571,,,0.0
524136,40.672546,-73.86261,2.0
30025,40.743195,-73.93673,0.0
441115,40.59907,-73.90498,0.0
453006,40.660286,-73.89084,0.0
44792,,,0.0
242277,40.83876,-73.93967,0.0
612250,40.81103,-73.92149,1.0
557186,40.7553365,-73.8432452,0.0
19386,40.76041,-73.87485,1.0
426226,,,0.0
408025,40.72119,-73.761185,0.0
413939,,,1.0
448387,,,0.0
535993,40.638577,-73.90414,0.0
233446,40.75172,-73.936134,0.0
637686,40.799698,-73.92929,0.0
111700,40.651535,-73.95902,0.0
266581,,,0.0
370932,40.755653,-73.96798,1.0
239232,40.69484,-73.98391,0.0
590317,,,0.0
575189,40.74304,-73.9885,0.0
721511,40.60059,-73.96137,0.0
819506,40.7727075,-73.9494762,0.0
148060,40.82902,-73.94485,0.0
259529,40.713184,-73.82393,0.0
247574,40.774654,-73.9541,0.0
21838,40.70537,-73.775826,1.0
166853,40.89646,-73.86921,1.0
